	Original				Reduced				
Input	n	m	T	Tw+1	n'	m'	T'	Tw'+1	Time
instance001	74	146	25	6	51	89	19	5	0.011
instance003	87	176	30	6	70	123	22	6	0.038
instance005	201	253	100	6	75	117	27	6	0.031
instance007	216	288	100	6	83	126	33	5	0.023
instance009	229	312	100	6	113	176	41	6	0.068
instance011	244	337	100	6	112	175	38	6	0.081
instance013	1906	2083	1655	6	86	138	43	5	0.046
instance015	114	228	33	7	80	143	23	7	0.061
instance017	210	276	100	7	53	84	19	6	0.017
instance019	231	319	100	7	113	178	42	7	0.205
instance021	247	486	100	7	155	277	49	7	0.147
instance023	990	1258	574	7	255	390	118	6	0.128
instance025	8790	9815	7397	7	153	241	75	5	4.024
instance027	15	35	8	8	15	35	8	8	0.247
instance029	197	250	100	8	54	85	20	7	0.026
instance031	269	399	99	8	131	213	43	8	0.577
instance033	480	670	200	8	246	386	80	8	0.822
instance035	543	727	250	8	219	342	79	8	0.65
instance037	1172	1627	500	8	495	782	189	8	2.447
instance039	1912	2223	1173	8	157	248	77	6	0.169
instance041	2382	2674	1889	8	238	380	100	8	0.547
instance043	246	468	25	9	214	402	25	9	17.312
instance045	389	562	150	9	200	321	68	9	2.618
instance047	585	799	250	9	229	350	92	7	0.127
instance049	623	876	250	9	296	478	90	9	5.607
instance051	1416	1978	657	9	608	968	222	9	8.526
instance053	181	289	51	10	151	245	40	10	1.986
instance055	233	431	22	10	163	298	20	10	0.246
instance057	245	454	20	10	197	361	20	10	0.165
instance059	560	870	195	10	358	586	109	10	62.178
instance061	528	1017	85	10	521	1005	85	10	376.119
instance063	1214	1700	500	10	606	955	210	9	1.771
instance065	2856	3641	1748	10	875	1390	315	10	23.038
instance067	200	370	20	11	18	27	7	4	0.011
instance069	200	370	100	11	2	1	1	2	0.005
instance071	339	522	100	11	236	386	64	11	0.667
instance073	262	740	10	11	254	580	10	11	0.034
instance075	557	1080	49	11	441	860	47	11	0.359
instance077	2413	3412	1577	11	520	891	247	11	46.313
instance079	36415	145635	16808	11	36415	145635	16808	11	
instance081	237	378	76	12	168	281	44	12	4.917
instance083	311	632	32	12	261	535	32	12	7.897
instance085	1274	1808	500	12	646	1027	200	12	219.958
instance087	1337	1933	500	12	760	1206	243	11	
instance089	5829	7552	3038	12	1223	1941	488	11	8.706
instance091	304	571	33	13	244	459	31	13	0.073
instance093	1001	1419	400	13	496	786	168	13	122.579
instance095	1335	1932	500	13	763	1210	249	13	
instance097	2629	3793	1000	13	1441	2313	464	13	
instance099	1294	1853	500	14	705	1114	234	11	473.52
instance101	2778	4083	1000	14	1569	2515	491	14	
instance103	1055	1473	493	15	348	552	137	10	477.388
instance105	1408	2056	500	15	781	1267	226	15	527.656
instance107	160	240	24	16	74	141	19	16	0.421
instance109	257	515	23	16	212	424	23	16	0.26
instance111	2763	4038	1000	16	1580	2531	485	16	
instance113	80	160	16	17	62	135	16	17	4.17
instance115	243	497	27	17	201	413	27	17	1.225
instance117	398	788	44	17	302	600	41	17	0.231
instance119	678	1030	318	17	272	468	108	10	0.21
instance121	1005	1731	18	17	40	62	9	5	0.048
instance123	2762	4047	1000	17	1582	2549	485	16	
instance125	160	240	24	18	72	139	17	17	2.565
instance127	294	568	22	18	219	427	22	18	0.242
instance129	323	592	31	18	227	409	30	15	0.103
instance131	499	861	16	18	70	120	12	9	0.561
instance133	766	1535	76	18	635	1273	74	18	2.168
instance135	2532	3615	1000	18	1229	1968	388	18	
instance137	2676	3894	1000	18	1562	2507	476	18	
instance139	2984	4484	1000	18	1914	3086	562	18	
instance141	294	618	38	19	251	533	38	19	124.519
instance143	388	815	45	19	355	753	45	19	
instance145	437	838	33	19	390	751	33	19	0.157
instance147	564	1112	50	19	479	950	47	19	0.963
instance149	615	1232	53	19	519	1042	53	19	11.118
instance151	314	650	34	20	274	572	34	20	17.83
instance153	670	1316	62	20	669	1315	62	20	0.69
instance155	770	1383	21	20	71	116	16	7	0.114
instance157	938	1869	75	20	779	1566	75	20	5.578
instance159	2865	4267	1000	20	1804	2905	539	20	
instance161	2502	6244	100	24	2478	5700	92	24	11.516
instance163	402	780	26	21	337	661	22	21	0.115
instance165	422	808	25	21	327	623	25	21	0.095
instance167	632	1087	10	21	101	167	9	10	0.015
instance169	720	1269	11	21	24	36	7	4	0.014
instance171	802	1553	39	21	502	950	38	19	0.383
instance173	788	1938	50	21	772	1707	47	21	0.334
instance175	2397	3715	783	21	1719	2797	497	21	
instance177	904	1806	59	22	681	1361	54	22	1.826
instance179	752	1264	26	23	159	268	23	13	0.044
instance181	757	1493	58	23	582	1171	58	22	24.615
instance183	838	1763	60	23	834	1757	60	23	0.362
instance185	2834	4207	1000	23	1706	2762	496	23	
instance187	529	1032	21	24	363	702	21	22	0.468
instance189	467	896	30	25	388	743	30	24	0.165
instance191	5096	8105	1379	26	3950	6469	977	26	
instance193	1848	3286	16	27	19	28	5	4	0.081
instance195	1724	2975	29	28	217	369	26	17	0.13
instance197	6128	15264	200	29	6082	14106	193	29	
instance199	1011	2010	37	37	968	1927	37	37	3.081
Score									84|2616.558
